logNo,date,title,link,category,case,domain,brand,model,year,imported,key_type,jobs,outcome,area,notes
224422878038,2026-09-26,대구 르노삼성 QM3 스마트키 분실 제작 차키분실 자동차키분실,https://blog.naver.com/yym0072/224422878038,차키(대표),true,차키,르노삼성,QM3,,false,스마트키,분실제작,완료,,
224422261796,2026-09-25,대구 혼다 CR-V 차키 분실 제작 어코드 스마트키·자동차키 분실도 출장 제작 가능합니다,https://blog.naver.com/yym0072/224422261796,차키(대표),false,차키,혼다,CR-V,,true,스마트키,분실제작,안내만,,차종·연식에 따라 스마트키 등록 방법이 달라짐
224421803420,2026-09-24,"벤츠 차량에 차키를 차 안에 두고 문이 잠긴 상황, 대구 출장 수입차 외제차",https://blog.naver.com/yym0072/224421803420,차키(대표),false,차키,벤츠,,,true,불명,차문개방,안내만,,
224420597944,2026-09-23,대구 쉐보레 자동차 콜로라도 차키 분실 리모컨 폴딩키 제작 열쇠 자동차키 스마트키 전문,https://blog.naver.com/yym0072/224420597944,차키(대표),true,차키,쉐보레,콜로라도,,false,폴딩키,분실제작,완료,,연식·사양에 따라 키 형태 다르고 리모컨과 키가 분리된 차량도 있음
224419396666,2026-09-22,대구 지프 루비콘 차키 리모컨 폴딩키 제작 랭글러·루비콘·레니게이드 자동차키 분실했을 때,https://blog.naver.com/yym0072/224419396666,차키(대표),false,차키,지프,랭글러 루비콘,,true,폴딩키,분실제작,안내만,,
224419067132,2026-09-21,볼보 자동차 차문이 잠겼을 때? 대구 볼보 차문 잠금해제 출장,https://blog.naver.com/yym0072/224419067132,차키(대표),false,차키,볼보,,,true,불명,차문개방,안내만,,
224418984588,2026-09-21,르노삼성 SM3 폴딩키 리모컨 버튼 고장 수리｜대구 자동차키 출장수리,https://blog.naver.com/yym0072/224418984588,차키(대표),false,차키,르노삼성,SM3,,false,폴딩키,리모컨수리,안내만,,버튼 반응 없거나 한쪽만 작동 안 하면 배터리 문제인지 리모컨 내부 문제인지 확인 필요
224418300960,2026-09-21,대구 토레스 스마트키 분실 제작｜쌍용 KGM 토레스 차키분실 출장 복원,https://blog.naver.com/yym0072/224418300960,차키(대표),false,차키,쌍용,토레스,,false,스마트키,분실제작,안내만,,
224417556090,2026-09-20,대구 쌍용 G4 렉스턴 스마트키 분실 제작 차키분실 🚗🔑,https://blog.naver.com/yym0072/224417556090,차키(대표),true,차키,쌍용,G4 렉스턴,,false,스마트키,분실제작,완료,,
224416673426,2026-09-19,대구 혼다 PCX 스마트키 분실 제작 육각키부터 ID번호·비밀번호·시리얼번호 찾기,https://blog.naver.com/yym0072/224416673426,차키(대표),true,오토바이키,혼다,PCX,,true,스마트키,분실제작,완료,,금속키 제작만으로 해결 안 되며 Honda SMART Key는 육각키로 시트 개방 후 ID·비밀번호·시리얼번호 확인해 등록 필요
224415614785,2026-09-18,대구 포드 익스플로러 차문 잠겼을 때 수입자동차 외제차 차문 잠금해제·차문열기 출장,https://blog.naver.com/yym0072/224415614785,차키(대표),false,차키,포드,익스플로러,,true,스마트키,차문개방,안내만,,
224414471152,2026-09-17,대구 폭스바겐 골프 시동키박스 안 돌아갈 때 차키가 돌아가지 않는다면 이그니션 키박스 고장 점검,https://blog.naver.com/yym0072/224414471152,차키(대표),false,차키,폭스바겐,골프,,true,불명,이그니션수리,안내만,,
224411946616,2026-09-15,대구 야마하 NMAX 스마트키 분실 제작 출장/엑스맥스 XMAX,https://blog.naver.com/yym0072/224411946616,차키(대표),true,오토바이키,야마하,NMAX,,true,스마트키,분실제작,완료,,예비 스마트키가 없는 완전 분실 상태에서도 전용 장비로 모듈·데이터 확인 후 신규 등록 가능
224409864976,2026-09-13,대구 아우디 A4 차문 잠금해제 차량 문이 잠겼을 때 안전하게 차문 열기,https://blog.naver.com/yym0072/224409864976,차키(대표),false,차키,아우디,A4,,true,스마트키,차문개방,안내만,,
224408055468,2026-09-11,🚗 기아 그랜드 카니발 스마트키 분실 제작｜대구 차키분실 출장 차키 제작,https://blog.naver.com/yym0072/224408055468,차키(대표),true,차키,기아,그랜드 카니발,,false,스마트키,분실제작|차문개방,완료,,스마트키 부품번호 95440-a9300
224407585762,2026-09-10,대구 포르쉐 파나메라 잠금해제 차문 열기 출장,https://blog.naver.com/yym0072/224407585762,차키(대표),false,차키,포르쉐,파나메라,,true,스마트키,차문개방,안내만,,"비상키(기계식)로 운전석 도어 열 때는 반시계방향(왼쪽)으로 회전, 포르쉐 신형 카이엔 매뉴얼 기준과 동일"
224406710718,2026-09-10,르노 삼성 자동차 sm6 스마트키 분실 제작 열쇠 잃어버렸을때,https://blog.naver.com/yym0072/224406710718,차키(대표),false,차키,르노삼성,SM6,,false,불명,분실제작,안내만,,"트림에 따라 카드형 또는 리모컨형 스마트키 사용, 분실 시 차량 사양에 맞는 키로 재제작·등록 필요"
224405530037,2026-09-09,대구 기아자동차 레이 차키 분실 제작｜스마트키·폴딩키 현장 출장 제작,https://blog.naver.com/yym0072/224405530037,차키(대표),true,차키,기아,레이,,false,불명,분실제작|차문개방,완료,,
224403167863,2026-09-07,"[대구 중앙열쇠] 기아 올뉴모닝 스마트키 분실, 출장으로 빠르게 해결해드립니다",https://blog.naver.com/yym0072/224403167863,차키(대표),false,차키,기아,올뉴모닝,,false,스마트키,분실제작,안내만,,예비 스마트키가 남아있으면 복원이 더 수월함
224402400850,2026-09-06,푸조 3008 차키 분실 제작｜스마트키·폴딩키·리모컨 대구 출장,https://blog.naver.com/yym0072/224402400850,차키(대표),false,차키,푸조,3008,,true,불명,분실제작,안내만,,"연식·사양에 따라 키 형태·등록 방식 다름, 이모빌라이저 등록·리모컨 설정 필요할 수 있음"
224401536850,2026-09-05,르노삼성 자동차 QM3 스마트키 분실 제작｜대구 자동차키 차키 열쇠 잃어버렸을 때,https://blog.naver.com/yym0072/224401536850,차키(대표),false,차키,르노삼성,QM3,,false,스마트키,분실제작|차문개방,안내만,,QM3는 르노 캡처 기반으로 2013~2019년 1세대가 국내 판매됨
224400445879,2026-09-04,대구 그랜저 HG 스마트키 분실 제작｜차키 잠금해제 차문열기 잃어버렸을 때 현장 출장 스마트키 등록,https://blog.naver.com/yym0072/224400445879,차키(대표),true,차키,현대,그랜저 HG,,false,스마트키,분실제작|차문개방,완료,,
224399262681,2026-09-03,툴레(THULE) 키 분실했을 때? 스웨덴 제조 키박스 열쇠 분실 제작,https://blog.naver.com/yym0072/224399262681,차키(대표),false,기타,기타,,,,불명,분실제작,안내만,,"차량용 루프박스·자전거 캐리어 등 액세서리 키, 제품별로 키 실린더·번호가 달라 확인 필요"
224398042229,2026-09-02,지프 그랜드 체로키 차키 분실! 스마트키 제작부터 등록까지 대구 출장으로 해결,https://blog.naver.com/yym0072/224398042229,차키(대표),false,차키,지프,그랜드 체로키,,true,스마트키,분실제작|차문개방,안내만,,
224396948475,2026-09-01,볼보 자동차 XC90 차문 잠겼을 때 잠금해제·차문 개방｜대구 자동차키 전문,https://blog.naver.com/yym0072/224396948475,차키(대표),false,차키,볼보,XC90,,true,리모컨키,차문개방,안내만,,최신 XC90은 키리스 기능·보조키·Volvo Cars 앱으로도 잠금/해제 가능
224395883938,2026-08-31,르노삼성 SM5 노브형 스마트키 분실 제작｜대구 자동차키 출장 제작,https://blog.naver.com/yym0072/224395883938,차키(대표),false,차키,르노삼성,SM5 노브형,,false,스마트키,분실제작,안내만,,
224394762704,2026-08-30,"르노삼성 SM6 스마트키 분실했을 때, 차키 분실 제작 방법｜대구 자동차키 출장",https://blog.naver.com/yym0072/224394762704,차키(대표),false,차키,르노삼성,SM6,,false,스마트키,분실제작,안내만,,모든키 분실 시 차량 상태·연식에 따라 작업 방법 다름
224393826384,2026-08-29,혼다 PCX 스마트키 분실 제작｜육각키·아이디·비밀번호·시리얼 번호까지 복원,https://blog.naver.com/yym0072/224393826384,차키(대표),false,오토바이키,혼다,PCX,,true,스마트키,분실제작,안내만,,스마트키 외 육각키·ID·비밀번호·시리얼 번호까지 함께 분실 시 복원 필요
224392815430,2026-08-28,포터2 차키 분실 제작｜대구 자동차키 열쇠 출장 제작,https://blog.naver.com/yym0072/224392815430,차키(대표),false,차키,현대,포터2,,false,불명,분실제작,안내만,,연식·사양에 따라 일반키·이모빌라이저키·리모컨키·폴딩키 등 키 종류 다름
224391722635,2026-08-27,"르노 삼성 자동차 SM6 스마트키 분실 제작, 대구 자동차키 출장 제작",https://blog.naver.com/yym0072/224391722635,차키(대표),true,차키,르노삼성,SM6,,false,스마트키,분실제작,완료,,"카드형 스마트키 전량 분실 시 단순 복사로 해결 불가, 차량 시스템 등록 필요"
